kata_slang;kata_baku
ababil;anak ingusan
abal2;palsu
abal;palsu
abg;remaja
abiss;abis
about;tentang
academy;akademi
ad;ada
adala;adalah
adek;adik
adl;adalah
adlah;adalah
adlh;adalah
ae;aja
ahir;akhir
aj;aja
aja;jangan
ajah;aja
ajakin;ajakan
aje;saja
akeh;banyak
akooh;saya
aktifitas;aktivitas
akuu;aku
alakadrnya;seadnya
alay;norak
albm;album
alesan;alasan
alhamdulillah;syukur
alias;sama dengan
aliss;sama dengan
alkhamdulillah;syukur
all;semua
alloh;allah
alus;halus
ama;sama
ambek;marah
ambyar;bercerai berai
ampe;sampai
amsyong;musibah
analisa;analisis
ancene;betulkah
ancur;hancur
ancuur;hancur
and;dan
angel;susah
anjir;waduh
anker;anak kereta
antek;kelompok
anyway;omong omong
apal;hafal
apparel;baju
apk;aplikasi
apresiasi;penghargaan
aq;saya
area;wilayah
arogan;sombong
asa;tujuan
asap;secepatnya
ato;atau
atw;atau
ava;foto profil
aya;ada
ayaan;ada
ayahnya;ayah
ayang;sayang
aye;saya
azas;asas
bacod;banyak bicara
bacot;banyak bicara
bacotan;pembicaraan
bacotnya;banyakbicara
bacotttt;banyak bicara
bae;baik
bangettt;banget
baget;keras kepala
baiklahh;baik
balbalan;sepak bola
balikkanan;balik kanan
ballon;balon
bandits;penjahat
bangsat;kurang ajar
bangsattt;bangsat
bankrakyatindonesia;bank rakyat indonesia
banyk;banyak
bapa;bapak
bapack;bapak
bapakk;bapak
baper;bawa perasaan
bapuk;rusak
barusan;baru saja
bayangin;bayangkan
bbbrp;beberapa
bbrp;beberapa
bcr;bicara
bct;banyak bicara
beb;sayang
bebeb;pacar
beberap;beberapa
beberp;beberapa
beberpa;beberapa
becus;mampu
begin;awal
bego;bodoh
begonya;bodoh
bejibun;banyak
belit;rumit
ben;agar
ben;supaya
bener;benar
benerin;benarkan
bengukk;bentuk
ber2;berdua
ber3;bertiga
berargument;berargumen
beres;selesai
berhoax;berbohong
berjln;berjalan
berpolimik;berpolemik
berterimaksih;berterima kasih
berubah;ubah
berulang;beberapa
berulangkali;beberapa kali
best;baik
bestiee;sahabat
better;lebih baik
bf;pacar
bgitu;begitu
bgm;bagaimana
bgmn;bagaimana
bgsat;kurang ajar
bgst;kurang ajar
bgt;banget
bgs;bagus
bgtu;gitu
bhas;bahas
bhg;bahagia
bhw;bahwa
biang kerok;pembuat gaduh
biar;agar
biarpun;meskipun
big;besar
bikin;buat
binggo;banget
bingit;banget
birahi;berahi
bisi;seperti
bklan;bakalan
bkn;bukan
blak;terbuka
blg;bilang
blm;belum
blng;bilang
blog;bodoh
blogh;bodoh
bloon;bodoh
blum;belum
blunder;keliru
blusukan;masuk
bnget;banget
bngsat;kurang ajar
bngst;kurang ajar
bnr;benar
bnyak;banyak
bnyakin;banyakin
bnyk;banyak
bobrok;rusak
bolautama;bola utama
bolla;bola
bolot;tidak dengar
bomb;bom
bonceng;ikut
booking;pesan
bosok;busuk
bpk;bapak
br;baru
bru;baru
bray;sahabat
brb;akan segera kembali
brjaya;berjaya
brlebihan;berlebihan
brng;barang
bro;kawan
brow;kawan
bs;bisa
bsa;bisa
bsk;besok
btuh;butuh
btw;omong omong
bu;ibu
buatin;buatkan
bubarin;bubarkan
budalo;pergi saja
budeg;tidak mendengar
budek;tuli
bujang;muda
buktiin;buktikan
buktina;buktinya
bungkam;tutup mulut
buosokkkkk;busuk
buukti;bukti
bwang;bang
byangin;wujud
byk;banyak
call;menelpon
call;telepon
can;belum
capek;lelah
caper;cari perhatian
cc;teruskan
cekap;efisien
ceremonial;pembukaan
ceritane;cerita
ceunah;kata nya
cewa;kecewa
champion;pemenang
channel;saluran
chaos;kacau
cilik;kecil
circle;lingkaran
class;kelas
clear;jelas
club;klub
cm;cuma
cmiiw;koreksi saya
cmn;cuman
cmn;hanya
cnt;cinta
coach;pelatih
comberan;air kotor
congrats;selamat
copot;lepas
courtesy;milik
cover both side;berimbang tidak memihak
cringe;malu
crisis;krisis
crop;potong
cuaan;uang
cuan;uang
culas;curang
curiga;khawatir
cya;sampai jumpa lagi
da;ada
dadi;jadi
dady;ayah
dafuk;kurang ajar
dagel;lucu
dagelan;lucu
damat;tidak peduli
dapet;dapat
dara;darah
dateng;datang
day;hari
ddakan;dadakan
deal;sepakat
dear;yang terhormat
degradasi;kemunduran
dek;adik
demen;suka
dempa;demi apa
den;raden
denger;dengar
design;desain
deuleu;lihat
dg;dengan
dgn;dengan
dhentikan;dihentikan
diamadem;diamandemen
diapain;apa
dibenerin;dibenerkan
dibubarin;dibubarkan
